EventID,Timestamp,Protocal,Source IP,Source Port,Destination IP,Destination Port
341,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,10628
342,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,999
343,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,5825
344,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,7004
345,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,7201
346,2024-12-21 16:48:32,tcp,192.168.43.41,6002,192.168.43.13,34710
347,2024-12-21 16:48:32,tcp,192.168.43.41,8654,192.168.43.13,34710
348,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,900
349,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,3011
350,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2809
351,2024-12-21 16:48:32,tcp,192.168.43.41,5555,192.168.43.13,34710
352,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,10616
353,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,711
354,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,1011
355,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,61900
356,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,631
357,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,3476
358,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2111
359,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,3689
360,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,783
361,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,1494
362,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,12265
363,2024-12-21 16:48:32,tcp,192.168.43.41,32773,192.168.43.13,34710
364,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2035
365,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,8093
366,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,1328
367,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2010
368,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2068
369,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2021
370,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,18101
371,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,5221
372,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2393
373,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,8083
374,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,1213
375,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,5226
376,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,179
377,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,10009
378,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,7921
379,2024-12-21 16:48:32,tcp,192.168.43.41,911,192.168.43.13,34710
380,2024-12-21 16:48:32,tcp,192.168.43.41,417,192.168.43.13,34710
381,2024-12-21 16:48:32,tcp,192.168.43.41,2038,192.168.43.13,34710
382,2024-12-21 16:48:32,tcp,192.168.43.41,2222,192.168.43.13,34710
383,2024-12-21 16:48:32,tcp,192.168.43.41,515,192.168.43.13,34710
384,2024-12-21 16:48:32,tcp,192.168.43.41,3659,192.168.43.13,34710
385,2024-12-21 16:48:32,tcp,192.168.43.41,10243,192.168.43.13,34710
386,2024-12-21 16:48:32,tcp,192.168.43.41,280,192.168.43.13,34710
387,2024-12-21 16:48:32,tcp,192.168.43.41,9002,192.168.43.13,34710
388,2024-12-21 16:48:32,tcp,192.168.43.41,9111,192.168.43.13,34710
389,2024-12-21 16:48:32,tcp,192.168.43.41,1091,192.168.43.13,34710
390,2024-12-21 16:48:32,tcp,192.168.43.41,7000,192.168.43.13,34710
391,2024-12-21 16:48:32,tcp,192.168.43.41,10000,192.168.43.13,34710
392,2024-12-21 16:48:32,tcp,192.168.43.41,2046,192.168.43.13,34710
393,2024-12-21 16:48:32,tcp,192.168.43.41,119,192.168.43.13,34710
394,2024-12-21 16:48:32,tcp,192.168.43.41,5952,192.168.43.13,34710
395,2024-12-21 16:48:32,tcp,192.168.43.41,9103,192.168.43.13,34710
396,2024-12-21 16:48:32,tcp,192.168.43.41,5060,192.168.43.13,34710
397,2024-12-21 16:48:32,tcp,192.168.43.41,41511,192.168.43.13,34710
398,2024-12-21 16:48:32,tcp,192.168.43.41,49155,192.168.43.13,34710
399,2024-12-21 16:48:32,tcp,192.168.43.41,1717,192.168.43.13,34710
400,2024-12-21 16:48:32,tcp,192.168.43.41,2170,192.168.43.13,34710
401,2024-12-21 16:48:32,tcp,192.168.43.41,33354,192.168.43.13,34710
402,2024-12-21 16:48:32,tcp,192.168.43.41,19842,192.168.43.13,34710
403,2024-12-21 16:48:32,tcp,192.168.43.41,1044,192.168.43.13,34710
404,2024-12-21 16:48:32,tcp,192.168.43.41,2604,192.168.43.13,34710
